stn;time;pva200m0;gre000m0;prestam0;tre200mx;tre200mn;tre200m0;hns000m0;rre150m0;ure200m0;hto000m0;su2000m0;sremaxmv;fkl010m0;nto000m0;ure200mn
SAE;201211;3.3;82;747.3;6.9;-14.6;-1.7;107;118.6;66.0;58;137.2;50;5.4;62;3.2
SAE;201212;2.8;46;743.7;6.2;-18.8;-8.0;220;517.7;80.2;243;67.1;26;9.2;83;10.7
SAE;201301;2.5;64;743.3;0.6;-18.9;-7.8;93;166.0;73.6;349;82.9;30;7.8;78;2.5
SAE;201302;2.1;117;739.6;-1.0;-20.2;-11.7;176;269.6;81.6;535;117.3;41;6.5;63;11.6
SAE;201303;2.8;162;738.4;1.0;-19.6;-6.7;61;131.9;75.5;501;119.2;33;5.8;76;5.0
SAE;201304;4.5;232;748.0;6.3;-11.7;-1.6;56;134.9;79.9;491;180.3;46;5.0;69;7.0
SAE;201305;5.0;222;746.8;7.1;-10.0;-1.6;133;401.0;92.0;406;92.8;21;5.2;84;39.2
SAE;201306;7.0;253;755.1;17.6;-6.3;3.4;17;373.5;90.8;389;156.2;34;4.6;76;33.3
SAE;201307;8.6;268;759.5;18.1;1.5;8.1;0;210.7;80.0;156;240.5;52;3.3;54;4.1
SAE;201308;7.8;201;757.8;18.4;-0.1;7.1;0;165.6;79.4;0;174.4;42;3.8;66;4.6
SAE;201309;6.4;145;754.2;14.6;-5.7;4.1;32;428.4;79.3;3;130.0;36;6.4;71;4.4
SAE;201310;5.6;107;753.3;10.7;-9.4;2.1;50;160.6;79.2;14;144.4;43;5.8;73;10.8
SAE;201311;3.4;68;746.3;5.1;-18.0;-4.9;89;281.0;77.4;43;98.7;36;7.7;71;3.2
SAE;201312;2.2;60;752.6;5.2;-13.8;-3.4;66;99.4;51.1;102;165.7;64;7.9;43;3.0
SAE;201401;3.0;56;742.7;3.8;-14.3;-5.5;87;160.4;73.2;182;90.3;33;7.7;73;3.0
SAE;201402;2.7;106;742.1;3.1;-12.1;-6.2;62;143.9;71.7;253;124.0;43;7.1;74;3.8
SAE;201403;2.6;183;748.8;5.4;-13.0;-3.1;94;69.5;59.6;297;231.0;64;5.5;51;3.3
SAE;201404;4.4;200;748.7;6.2;-12.1;-1.7;40;90.3;80.7;249;136.4;35;3.9;77;2.7
SAE;201405;5.0;226;750.9;8.9;-8.4;-0.6;77;237.3;85.8;230;124.2;28;5.6;82;5.1
SAE;201406;7.0;235;755.3;17.7;-2.3;4.6;6;214.7;83.9;92;172.8;38;3.8;74;25.4
SAE;201407;8.0;195;754.5;17.9;-2.4;6.0;7;490.4;86.6;0;123.9;27;4.2;81;23.1
SAE;201408;7.7;156;753.8;13.5;-3.9;4.0;20;292.4;93.0;1;77.3;18;5.8;87;43.3
SAE;201409;7.0;151;755.6;12.2;-4.7;4.3;7;133.0;83.7;1;137.3;38;3.7;67;3.2
SAE;201410;5.5;115;754.3;10.7;-9.1;2.9;42;249.1;73.6;10;174.7;52;6.2;60;3.4
SAE;201411;4.3;72;747.5;6.7;-7.3;0.2;47;76.4;70.2;25;120.0;43;6.2;66;4.6
SAE;201412;3.1;45;748.8;3.0;-18.4;-6.0;138;221.8;76.3;48;77.5;30;8.8;76;11.2
SAE;201501;2.6;58;746.4;3.1;-16.1;-7.3;131;376.1;71.3;191;83.2;30;9.7;71;10.5
SAE;201502;2.0;111;744.0;1.6;-17.1;-7.9;55;143.8;61.0;296;150.0;52;6.6;52;3.0
SAE;201503;3.1;157;749.6;2.5;-14.0;-5.0;96;295.7;75.2;349;172.0;48;7.5;64;3.0
SAE;201504;3.5;232;752.2;6.0;-14.5;-2.9;129;239.4;70.7;458;209.7;53;6.7;62;3.3
SAE;201505;5.6;214;752.6;10.1;-7.2;0.9;50;234.1;86.5;365;114.2;25;6.8;85;17.9
SAE;201506;7.6;248;757.3;15.6;-2.9;5.3;11;251.1;84.6;212;185.0;41;4.6;70;20.1
SAE;201507;9.1;258;758.6;20.0;-0.3;9.5;0;160.2;78.1;10;224.9;49;5.3;59;5.8
SAE;201508;8.8;211;757.8;18.1;-0.1;8.7;0;104.6;78.6;0;206.0;49;3.1;58;9.4
SAE;201509;5.6;144;753.5;11.9;-4.3;1.7;17;170.7;81.4;2;132.0;37;4.5;70;4.8
SAE;201510;4.5;129;751.8;9.6;-8.4;0.5;38;101.8;72.2;7;190.2;57;5.0;56;2.3
SAE;201511;3.7;75;753.7;11.0;-15.0;-1.1;92;211.5;65.8;24;142.5;51;10.5;60;2.4
SAE;201512;3.0;65;759.6;5.7;-8.9;-0.4;29;75.6;53.6;82;181.3;70;7.8;41;3.0
SAE;201601;3.0;54;745.0;4.4;-19.6;-6.9;224;437.1;78.6;203;64.9;24;9.5;78;8.8
